"","MapID","Locality","Country","Latitude","Longitude"
"1","Abz","Abzac","France ",44.94,1.01
"2","Bal","Balla","Hungary",48.05,20.53
"3","Bdn","Biedensteg","Germany ",51.11,9.14
"4","Bsk","Bisnik","Poland",50.42,19.67
"5","BTg","Bolshoi Tigany","Russia",55.14,50.15
"6","Box","Boxgrove","England",50.86,-0.69
"7","BPt","Bridged Pot","England",51.21,-2.67
"8","Brl","Brillenhohle","Germany ",48.41,9.78
"9","BgS","Burgtonna South","Germany ",51.06,10.72
"10","Chg","Chigirin","Ukraine",49.08,32.67
"11","CCIV","Clacton","England",51.79,1.16
"12","Crb","Courbet","France ",44.05,1.66
"13","CGr","Cudmore Grove","England",51.79,0.99
"14","DvB","Divje babe I","Slovenia",46.11,13.91
"15","DNg","Donskaya Negatchevka","Russia",52.06,39
"16","DSC","Dzerava skala Cave","Slovak Republic",48.5,17.32
"17","FUt","Fortuna utca 16-18/2","Hungary",47.49,19.04
"18","FiK","Fuchsloch im Krockstein","Germany ",51.75,10.87
"19","GBr","Grotta del Broion, Sala Grande","Italy ",45.46,11.59
"20","Gun","Gunki","Ukraine",49.27,33.6
"21","Hvl","Horvati-lik","Hungary",48.21,20.44
"22","Hvg","Horvolgy","Hungary",48.08,20.5
"23","Hun","Hundsheim","Austria",48.14,16.93
"24","IFs","Ightham Fissures","England",51.29,0.3
"25","IKo","Ilovayski Kordon","Russia",53.06,40.32
"26","KLb","Kalman Lambrecht","Hungary",48.12,20.6
"27","Kar","Kartstein","Germany ",50.54,6.66
"28","Kom","Komarowa","Poland",50.8,19.12
"29","Kor","Korotoyak-4","Russia",50.95,39.09
"30","KGr","Kozi Grzbiet","Poland",50.85,20.35
"31","Kuz","Kuznetsovka","Russia",51.87,42.2
"32","MJn","Marie-Jeanne Cave","Belgium",50.21,4.83
"33","Mdz","Medzhybozh-2","Ukraine",49.43,27.42
"34","Mer","Merlin's Cave","England",51.84,-2.65
"35","Mhm","Miesenheim I","Germany ",50.4,7.41
"36","Msb","Mosbach","Germany ",50.07,8.27
"37","Nvk","Novonekrasovka","Moldova",45.38,28.7
"38","OEy","Ossom's Eyrie Cave","England",53.09,-1.85
"39","Psk","Pesko","Hungary",48.05,20.43
"40","Pil","Pilisszanto","Hungary",47.65,19.16
"41","Psd","Pisede","Germany ",53.74,12.76
"42","Poe","Poeymau","France ",43.1,-0.45
"43","Reg","Regourdou","France ",45.06,1.17
"44","RDT","Rotbav-Dealul Tiganilor","Romania",45.83,25.51
"45","RSb","Rybnaya Sloboda","Russia",55.6,49.4
"46","Sch","Schoningen","Germany ",52.14,10.97
"47","Ton","Tonchesberg","Germany ",50.37,7.38
"48","Tor","Tornewton Cave","England",50.49,-3.68
"49","TdF","Trou du Frontal","Belgium",50.22,4.96
"50","Vnd","Vindija","Croatia",46.3,16.34
"51","Vld","Vladimirovka","Russia",51.93,42.58
"52","WRF","West Runton","England",52.94,1.24
"53","WsM","Westbury","England",51.25,-2.7
"54","WLw","Wigber Low","England",53.06,-1.7
