"","ImageID","OTUID","OTU","CSize","B1a","B2a","B3a","L1a","L2a","L3a","L4a","Pp","B2p","B3p","L2p","L3p","L4p","SDQ7i"
"1",4233,1012,"Abzac",2077,71,78,85,71,79,89,84,87,73,52,80,57,63,89.6
"2",4224,1012,"Abzac",2055,75,75,71,72,74,72,71,70,56,56,61,58,60,84.5
"3",4238,1012,"Abzac",1954,70,68,57,71,79,73,63,66,50,49,46,58,57,81.5
"4",4230,1012,"Abzac",2047,81,84,72,73,78,92,78,63,49,58,58,56,59,72.8
"5",4243,1012,"Abzac",2051,67,64,66,68,60,63,62,67,49,46,56,47,47,84.2
"6",4234,1012,"Abzac",1951,59,52,46,57,60,64,57,68,37,42,38,40,41,84.6
"7",4225,1012,"Abzac",1875,71,71,83,79,78,81,76,65,47,53,54,48,58,72.4
"8",4239,1012,"Abzac",2011,70,71,80,88,78,89,65,76,47,56,57,59,54,78.6
"9",4232,1012,"Abzac",1827,54,54,59,63,56,57,64,52,51,55,47,53,56,89.9
"10",4220,1012,"Abzac",2104,65,77,67,84,82,87,79,80,58,61,58,57,67,85.2
"11",4236,1012,"Abzac",1936,72,74,76,67,78,79,75,81,55,49,55,54,56,82.7
"12",4226,1012,"Abzac",2095,73,76,73,82,80,78,82,67,50,47,48,50,56,70.8
"13",4240,1012,"Abzac",2061,57,66,69,78,75,66,74,59,41,45,42,50,43,69.9
"14",4221,1012,"Abzac",2014,70,62,57,72,66,70,65,70,44,48,47,48,52,82
"15",4237,1012,"Abzac",2143,74,75,71,82,88,82,88,69,59,48,61,55,64,75.9
"16",4228,1012,"Abzac",2308,84,81,66,80,83,83,88,75,53,47,57,56,55,74
"17",4241,1012,"Abzac",2072,75,73,76,68,87,77,75,74,58,54,51,61,53,80
"18",3606,987,"Aggeel",2433,68,62,63,75,76,72,65,66,63,67,72,70,75,99.6
"19",3607,987,"Aggeel",2466,57,64,69,63,71,68,68,63,63,64,67,65,74,99.8
"20",3602,987,"Aggeel",2524,55,57,64,62,62,65,60,82,62,64,64,74,79,119.3
"21",3612,987,"Aggeel",2502,72,67,69,65,71,73,72,78,69,69,76,73,76,106.1
"22",3605,987,"Aggeel",2440,62,60,59,71,61,63,63,81,73,62,68,72,69,115.3
"23",3220,973,"Bolshoi Tiganye",1927,57,53,58,68,68,60,59,66,45,44,57,58,59,93.4
"24",3242,973,"Bolshoi Tiganye",2214,68,79,76,83,88,78,65,70,55,50,60,52,59,77.5
"25",3214,973,"Bolshoi Tiganye",1752,40,45,40,55,47,51,44,45,32,40,41,39,33,85.4
"26",3228,973,"Bolshoi Tiganye",2040,71,78,76,69,81,75,71,75,55,55,55,52,55,81
"27",3243,973,"Bolshoi Tiganye",2059,46,56,59,64,53,51,48,58,44,45,51,52,42,92.8
"28",3215,973,"Bolshoi Tiganye",1866,48,47,50,56,39,53,49,58,45,40,44,49,43,98.5
"29",3233,973,"Bolshoi Tiganye",2014,47,56,57,67,65,64,55,67,52,47,51,45,52,92.7
"30",3246,973,"Bolshoi Tiganye",2023,68,70,64,81,69,74,65,65,57,55,59,54,69,86.4
"31",3217,973,"Bolshoi Tiganye",1917,47,46,48,56,55,47,51,53,52,45,48,51,51,100.9
"32",3240,973,"Bolshoi Tiganye",2166,66,75,66,80,71,74,76,58,58,55,60,62,61,81.1
"33",1076,10036,"Boxgrove 4b",1795,60,59,61,76,74,66,66,66,64,53,62,65,64,95.2
"34",1093,10036,"Boxgrove 4b",1862,40,47,42,48,39,42,41,63,58,56,66,64,64,145.2
"35",1080,10036,"Boxgrove 4b",1805,62,58,62,47,76,68,73,59,60,55,77,74,58,99.1
"36",1084,10036,"Boxgrove 4b",1790,46,45,54,47,44,46,52,61,59,66,68,53,55,126.6
"37",1077,10036,"Boxgrove 4b",1801,47,54,49,60,49,47,46,62,47,50,57,54,55,109.9
"38",1081,10036,"Boxgrove 4b",1912,51,44,44,62,57,52,67,74,61,60,67,60,67,122.8
"39",1073,10036,"Boxgrove 4b",1924,61,57,62,56,71,67,67,69,74,75,72,72,66,112.7
"40",1103,10036,"Boxgrove 4b",1910,48,48,49,53,53,54,61,65,56,59,62,57,62,116.4
"41",1085,10036,"Boxgrove 4b",1807,54,45,58,47,43,48,53,64,69,62,61,75,62,131.3
"42",1078,10036,"Boxgrove 4b",1778,58,52,52,83,65,63,56,59,60,52,65,65,70,100.2
"43",1082,10036,"Boxgrove 4b",1819,50,47,43,47,50,44,46,72,63,60,58,69,63,139.8
"44",1074,10036,"Boxgrove 4b",1732,46,47,41,34,50,45,46,54,56,59,57,67,70,135
"45",1105,10036,"Boxgrove 4b",1716,66,48,56,64,64,58,67,58,66,62,67,69,69,106.1
"46",1091,10036,"Boxgrove 4b",1723,48,44,44,54,61,54,58,73,63,51,65,69,60,125.1
"47",1079,10036,"Boxgrove 4b",1735,47,43,41,54,50,43,40,44,44,44,48,49,43,99.4
"48",1083,10036,"Boxgrove 4b",1737,51,42,57,60,58,64,61,58,57,58,62,59,68,106.9
"49",1126,10035,"Boxgrove 4c",1790,46,41,39,49,55,56,64,68,49,60,70,66,63,126.9
"50",1113,10035,"Boxgrove 4c",1742,32,32,30,37,40,44,43,46,42,31,47,51,47,120.2
"51",1130,10035,"Boxgrove 4c",1803,52,47,51,63,53,55,60,70,53,56,59,61,59,112.3
"52",1123,10035,"Boxgrove 4c",1803,48,62,63,53,62,64,45,55,63,62,62,68,64,108.1
"53",1101,10035,"Boxgrove 4c",1725,53,47,37,62,60,59,53,66,57,51,70,54,60,114.3
"54",1127,10035,"Boxgrove 4c",1770,45,43,46,59,58,60,56,65,53,50,55,57,59,110.1
"55",1114,10035,"Boxgrove 4c",1936,54,52,54,50,56,59,62,67,62,63,52,65,64,113.7
"56",1096,10035,"Boxgrove 4c",1815,46,41,43,44,42,48,35,65,60,48,62,60,62,141.1
"57",1124,10035,"Boxgrove 4c",1852,56,53,50,60,60,54,62,53,57,57,60,61,59,101.3
"58",1128,10035,"Boxgrove 4c",1723,39,32,41,44,57,49,51,56,49,43,43,57,54,114.4
"59",1120,10035,"Boxgrove 4c",1864,40,43,38,42,48,43,49,60,55,52,50,56,54,127.7
"60",1097,10035,"Boxgrove 4c",1900,56,60,63,52,58,70,57,61,78,76,75,75,74,120.2
"61",1125,10035,"Boxgrove 4c",1768,50,47,42,42,53,52,54,65,73,60,68,70,65,137.1
"62",1131,10035,"Boxgrove 4c",1825,40,43,46,48,39,42,38,69,53,66,53,55,63,144.6
"63",1129,10035,"Boxgrove 4c",1806,62,59,57,65,63,57,58,71,60,61,65,70,69,110.9
"64",1121,10035,"Boxgrove 4c",1791,51,50,55,48,56,55,51,67,58,64,63,69,69,124.9
"65",1099,10035,"Boxgrove 4c",1876,65,49,56,62,67,56,67,61,75,64,73,78,69,114
"66",3720,1063,"Burgtonna South Black-earth",1835,65,57,65,70,64,66,58,79,57,52,61,56,62,100.2
"67",3736,1063,"Burgtonna South Black-earth",1760,36,42,35,47,47,42,32,53,45,39,45,48,42,115.7
"68",3759,1063,"Burgtonna South Black-earth",1875,52,50,57,64,49,57,56,65,45,53,54,53,50,100
"69",3725,1063,"Burgtonna South Black-earth",1948,61,64,61,58,62,60,60,70,57,58,62,67,62,104.7
"70",3745,1063,"Burgtonna South Black-earth",1937,49,63,64,56,63,64,64,75,57,51,55,61,61,102.8
"71",3728,1063,"Burgtonna South Black-earth",2036,66,61,65,64,66,73,74,79,59,53,60,53,59,94.2
"72",3748,1063,"Burgtonna South Black-earth",1946,57,58,59,52,56,55,49,59,50,44,53,55,52,96.4
"73",3733,1063,"Burgtonna South Black-earth",1929,69,66,58,69,73,72,69,64,58,49,54,52,54,83
"74",3757,1063,"Burgtonna South Black-earth",1776,66,56,57,65,68,64,69,76,50,51,57,51,52,92.8
"75",2101,10029,"Central Scotland",2313,67,69,72,72,71,76,77,86,63,72,61,68,75,101.4
"76",2110,10029,"Central Scotland",2246,75,67,81,74,75,82,97,69,62,64,69,53,62,81.3
"77",4811,10029,"Central Scotland",2115,55,55,49,62,45,49,40,64,52,55,52,52,51,109.9
"78",1832,10029,"Central Scotland",1912,69,64,64,63,62,64,59,54,52,56,56,59,41,83.6
"79",2103,10029,"Central Scotland",2315,70,67,79,73,70,84,88,64,67,56,54,54,60,78.9
"80",2120,10029,"Central Scotland",2220,75,68,65,78,93,107,90,79,59,64,57,60,58,79.2
"81",4811,10029,"Central Scotland",2115,55,55,49,62,45,49,40,64,52,55,52,52,51,109.9
"82",1840,10029,"Central Scotland",2379,80,65,70,78,67,79,86,79,56,65,64,58,64,88.6
"83",2105,10029,"Central Scotland",2361,80,67,69,69,71,80,87,81,51,69,59,62,64,89.3
"84",1813,10029,"Central Scotland",2475,94,96,109,96,85,104,95,92,85,83,76,84,67,85.3
"85",1875,10029,"Central Scotland",2122,67,75,66,63,74,70,69,55,62,61,45,64,58,82.6
"86",2110,10029,"Central Scotland",2246,75,67,81,74,75,82,97,69,62,64,69,53,62,81.3
"87",1832,10029,"Central Scotland",1912,69,64,64,63,62,64,59,54,52,56,56,59,41,83.6
"88",3672,990,"Cheshskaya Guba",2053,72,64,68,69,69,69,73,76,53,52,51,46,59,85.3
"89",3664,990,"Cheshskaya Guba",2159,65,56,68,72,62,70,62,59,57,43,42,50,54,80
"90",3676,990,"Cheshskaya Guba",2108,68,63,63,69,71,67,70,64,59,52,56,61,59,88.1
"91",3668,990,"Cheshskaya Guba",2086,68,74,64,73,92,87,71,68,47,56,54,58,59,77.5
"92",3661,990,"Cheshskaya Guba",2300,55,54,60,65,58,50,57,68,50,48,51,58,48,98
"93",3673,990,"Cheshskaya Guba",1984,67,56,53,62,62,65,59,58,53,52,57,60,65,95
"94",3665,990,"Cheshskaya Guba",2013,55,50,53,67,63,63,60,67,44,43,41,44,44,85.2
"95",3677,990,"Cheshskaya Guba",2021,55,48,63,75,62,58,70,60,51,49,56,46,45,85.2
"96",3670,990,"Cheshskaya Guba",2127,74,61,68,72,71,73,79,83,59,53,59,63,63,93
"97",3662,990,"Cheshskaya Guba",2160,66,60,54,60,71,66,65,60,46,57,54,50,49,85.1
"98",3674,990,"Cheshskaya Guba",2021,65,61,65,67,64,64,57,66,53,47,48,55,47,86.2
"99",3666,990,"Cheshskaya Guba",2110,69,74,75,83,83,72,78,77,56,44,62,62,64,82.8
"100",3659,990,"Cheshskaya Guba",1962,63,51,58,56,62,55,59,48,42,49,43,38,45,77.5
"101",3678,990,"Cheshskaya Guba",2044,61,59,59,67,65,76,65,57,48,47,37,42,47,74.1
"102",3671,990,"Cheshskaya Guba",2152,63,75,90,72,73,73,76,66,62,57,63,60,59,83
"103",3663,990,"Cheshskaya Guba",2101,66,70,81,66,69,66,67,64,46,49,47,58,44,76.7
"104",3675,990,"Cheshskaya Guba",2129,73,70,67,69,74,62,67,87,56,59,54,54,56,94
"105",3667,990,"Cheshskaya Guba",1991,79,79,61,78,82,84,63,76,46,48,63,53,53,78.9
"106",3660,990,"Cheshskaya Guba",1987,60,55,56,57,63,57,52,63,52,51,51,58,52,97.5
"107",3486,812,"Chigirin",1927,61,53,59,59,66,66,62,57,70,68,69,59,59,103.1
"108",3451,812,"Chigirin",1814,67,64,66,61,62,75,64,55,58,57,49,84,52,89.3
"109",3474,812,"Chigirin",1859,57,63,53,54,58,59,67,57,65,63,59,58,56,101
"110",3460,812,"Chigirin",1700,62,58,56,58,56,56,60,70,64,55,70,75,72,117.2
"111",3477,812,"Chigirin",1701,46,48,47,50,43,46,45,46,44,43,54,46,44,99.4
"112",3465,812,"Chigirin",1867,61,60,64,61,67,69,73,72,76,67,61,67,67,105.9
"113",3480,812,"Chigirin",1874,45,42,44,50,52,52,57,51,52,49,52,52,58,106.7
"114",3446,812,"Chigirin",1826,58,51,58,45,50,56,65,64,61,54,58,61,64,111.2
"115",3471,812,"Chigirin",1837,56,63,57,59,57,55,53,67,63,58,62,65,61,110.8
"116",4831,1047,"Clacton Channel IV",1960,65,55,66,62,52,53,58,68,57,53,62,64,63,105.8
"117",4844,1047,"Clacton Channel IV",1880,68,58,52,57,50,61,60,63,64,59,58,63,63,106.7
"118",4836,1047,"Clacton Channel IV",1982,62,71,66,73,69,70,76,71,61,60,62,64,65,93.2
"119",4849,1047,"Clacton Channel IV",1831,42,51,49,54,54,55,48,68,55,63,49,61,56,119
"120",4841,1047,"Clacton Channel IV",1977,71,67,72,73,79,82,72,68,60,64,65,68,78,91.3
"121",4832,1047,"Clacton Channel IV",1882,55,48,66,59,58,54,64,68,59,48,64,63,67,108.2
"122",4845,1047,"Clacton Channel IV",1757,49,34,43,44,49,47,52,49,41,43,55,44,43,101.9
"123",4837,1047,"Clacton Channel IV",1744,38,40,42,42,50,42,50,48,40,38,42,45,40,99
"124",4850,1047,"Clacton Channel IV",1820,61,54,58,57,58,55,66,67,59,58,53,57,68,104.9
"125",4842,1047,"Clacton Channel IV",1878,67,68,69,71,75,69,72,72,66,63,62,70,68,96.3
"126",4833,1047,"Clacton Channel IV",1828,48,48,47,59,52,51,54,66,53,50,61,53,48,110.6
"127",4846,1047,"Clacton Channel IV",2006,56,58,65,69,70,66,68,67,61,62,70,63,74,102.7
"128",4838,1047,"Clacton Channel IV",1705,56,44,48,58,49,58,60,52,45,45,50,53,55,94.4
"129",4830,1047,"Clacton Channel IV",1861,54,54,54,58,66,55,68,51,51,57,59,54,60,93.6
"130",4851,1047,"Clacton Channel IV",1936,46,48,45,43,43,46,45,55,44,44,48,39,57,108.2
"131",4843,1047,"Clacton Channel IV",1817,64,55,56,55,60,57,68,57,56,64,62,67,65,103.1
"132",4834,1047,"Clacton Channel IV",1936,56,59,56,60,61,64,60,75,73,67,58,61,63,113.5
"133",4847,1047,"Clacton Channel IV",1771,51,54,47,59,58,60,52,64,56,49,55,64,56,107.1
"134",4840,1047,"Clacton Channel IV",1857,56,55,64,64,59,54,58,64,53,51,59,50,58,97.3
"135",1419,791,"Courbet",1931,52,63,59,70,68,73,68,63,43,48,60,53,57,85.4
"136",1463,791,"Courbet",2172,67,75,72,85,77,70,83,65,60,51,50,55,57,76.2
"137",1454,791,"Courbet",2060,69,62,65,75,79,78,78,55,54,56,60,56,54,77.1
"138",1442,791,"Courbet",2088,70,66,79,90,94,92,86,78,50,47,62,60,70,77.1
"139",1430,791,"Courbet",1838,66,63,64,70,70,71,69,71,55,54,64,60,64,92.8
"140",1460,791,"Courbet",2143,76,87,83,87,89,93,97,67,53,60,54,55,53,66.8
"141",1449,791,"Courbet",2089,78,88,93,78,88,83,86,64,68,55,54,51,54,69
"142",1437,791,"Courbet",2131,77,91,84,94,94,94,90,60,53,63,59,64,64,67.8
"143",1422,791,"Courbet",2034,74,74,65,93,90,97,80,83,47,52,55,63,58,77
"144",1465,791,"Courbet",1858,55,50,51,59,69,68,55,57,50,48,52,52,48,89.4
"145",1455,791,"Courbet",2179,68,72,80,85,85,81,75,68,53,51,51,53,59,73.8
"146",1444,791,"Courbet",1892,62,58,57,51,61,60,62,43,42,49,44,54,48,78.6
"147",1433,791,"Courbet",2089,81,78,74,80,81,93,99,72,63,55,64,64,68,78.2
"148",1416,791,"Courbet",2019,66,78,57,69,75,70,87,72,63,52,49,49,51,81.3
"149",1461,791,"Courbet",2011,74,75,69,80,85,84,85,80,65,59,71,72,57,87.7
"150",1451,791,"Courbet",2019,70,78,82,71,75,71,76,62,47,59,60,48,50,74.2
"151",1440,791,"Courbet",2090,95,81,86,76,103,99,88,69,58,56,62,55,59,68.2
"152",1423,791,"Courbet",2163,70,70,78,82,83,88,88,70,54,58,67,61,53,77.5
"153",1456,791,"Courbet",2174,72,76,79,79,89,82,81,56,59,73,74,66,60,79.6
"154",1445,791,"Courbet",1908,64,63,72,82,79,76,74,54,48,44,50,55,56,70.8
"155",1435,791,"Courbet",2054,70,70,52,68,76,72,65,61,45,52,52,44,61,79.5
"156",1417,791,"Courbet",2148,66,73,73,64,62,64,71,71,63,68,65,66,63,98.7
"157",1462,791,"Courbet",1950,67,75,66,68,71,78,82,67,62,57,62,67,61,87.4
"158",1453,791,"Courbet",2003,76,64,81,73,82,75,71,69,59,50,48,49,66,78.5
"159",1441,791,"Courbet",1945,54,57,57,78,77,72,69,67,47,52,67,73,63,94
"160",1426,791,"Courbet",2092,67,77,72,77,80,79,82,66,57,58,56,59,67,80.3
"161",1457,791,"Courbet",1942,78,69,84,83,77,78,80,81,55,62,65,53,59,83.1
"162",1446,791,"Courbet",1850,55,54,53,71,77,75,76,73,56,56,67,62,55,95.9
"163",1436,791,"Courbet",2111,78,74,75,76,90,77,87,73,51,53,64,58,59,77.4
"164",989,108,"Cudmore Grove",1866,67,60,55,53,60,58,63,69,75,63,73,62,51,111.1
"165",1043,108,"Cudmore Grove",1886,38,44,43,59,47,55,50,57,62,57,51,51,62,118.2
"166",1016,108,"Cudmore Grove",1928,37,44,33,55,58,56,46,72,54,51,61,64,61,132.2
"167",1000,108,"Cudmore Grove",1824,58,57,46,56,54,62,53,64,74,53,51,55,52,107
"168",1134,108,"Cudmore Grove",1969,57,59,51,61,64,59,62,69,71,66,67,69,80,118.9
"169",1056,108,"Cudmore Grove",1818,54,62,43,63,51,44,60,76,69,62,43,54,72,119.9
"170",1028,108,"Cudmore Grove",1912,43,42,41,57,55,48,64,74,55,55,54,67,61,125.7
"171",1011,108,"Cudmore Grove",2023,69,66,60,68,66,68,69,67,65,84,76,74,80,110.1
"172",994,108,"Cudmore Grove",1915,57,39,43,51,55,50,49,68,56,55,56,67,53,123
"173",990,108,"Cudmore Grove",1984,48,40,37,53,47,56,70,62,54,55,66,73,61,123.4
"174",1045,108,"Cudmore Grove",1847,63,55,57,61,63,59,59,60,55,61,62,60,70,102.6
"175",1017,108,"Cudmore Grove",1808,41,42,45,49,44,42,47,53,58,63,52,52,54,124.2
"176",1001,108,"Cudmore Grove",1871,63,56,59,61,59,58,50,73,70,73,75,82,60,124.6
"177",1135,108,"Cudmore Grove",1846,68,68,56,67,65,70,62,67,57,78,58,66,72,102
"178",1029,108,"Cudmore Grove",1827,51,56,54,69,64,68,67,81,72,61,67,68,68,116.1
"179",1012,108,"Cudmore Grove",1770,42,44,47,44,52,47,54,65,48,46,51,53,53,115.5
"180",996,108,"Cudmore Grove",1853,39,44,38,52,43,43,48,49,48,49,42,33,34,99
"181",991,108,"Cudmore Grove",1952,60,59,57,67,68,61,59,75,68,60,70,61,62,109.3
"182",1046,108,"Cudmore Grove",1824,39,50,45,58,54,53,46,45,47,44,44,65,54,99.7
"183",1024,108,"Cudmore Grove",1845,53,50,51,48,61,57,53,63,77,57,75,67,65,125.2
"184",1002,108,"Cudmore Grove",2042,49,48,52,53,47,47,50,63,59,51,37,34,47,102.3
"185",1136,108,"Cudmore Grove",2031,59,64,53,55,62,57,65,78,63,62,66,70,68,116.9
"186",1039,108,"Cudmore Grove",1966,61,66,55,61,65,59,70,69,62,69,65,79,70,110.5
"187",1013,108,"Cudmore Grove",1905,50,54,46,75,65,57,60,82,69,59,82,74,64,125.8
"188",997,108,"Cudmore Grove",1873,52,33,44,48,45,40,42,60,39,49,39,40,43,108.6
"189",1049,108,"Cudmore Grove",1807,51,41,42,45,53,45,68,53,62,53,64,60,64,118.6
"190",1026,108,"Cudmore Grove",1773,42,44,39,48,49,51,43,57,46,44,55,50,51,113.9
"191",1003,108,"Cudmore Grove",1868,49,45,45,48,54,56,52,60,58,50,56,60,58,115.2
"192",1137,108,"Cudmore Grove",1938,50,59,61,59,53,52,59,67,69,71,53,65,64,116
"193",3548,984,"Don Delta",2188,70,68,78,71,66,66,57,73,56,57,50,49,45,84.7
"194",3544,984,"Don Delta",2197,70,77,80,87,69,83,67,69,64,68,56,56,72,85.2
"195",3550,984,"Don Delta",2111,71,74,79,91,70,75,68,68,64,65,54,63,60,83.7
"196",3546,984,"Don Delta",2137,99,75,90,69,85,87,80,86,58,59,72,66,67,84.4
"197",3551,984,"Don Delta",2205,98,87,79,95,89,84,79,70,66,65,69,66,62,76.6
"198",3547,984,"Don Delta",2027,79,77,77,93,78,85,78,76,57,59,60,65,69,81.5
"199",3552,984,"Don Delta",2098,79,82,87,83,86,85,84,76,61,71,69,62,79,84.3
"200",3164,837,"Donskaya Negatchevka",1874,60,53,69,73,78,71,68,62,70,56,56,56,61,89.6
"201",3170,837,"Donskaya Negatchevka",1771,49,48,60,51,52,55,55,57,55,53,49,52,56,102.4
"202",3160,837,"Donskaya Negatchevka",1818,58,62,57,70,66,70,67,71,62,64,60,66,68,102.7
"203",3166,837,"Donskaya Negatchevka",1804,60,69,62,62,68,65,72,73,78,81,71,70,67,112
"204",3156,837,"Donskaya Negatchevka",1864,44,42,37,54,56,51,54,59,51,42,49,52,46,105.9
"205",3171,837,"Donskaya Negatchevka",1725,64,61,60,57,65,65,58,76,67,76,73,65,69,116.7
"206",3161,837,"Donskaya Negatchevka",1814,56,50,50,66,65,66,56,63,59,62,68,65,71,110.3
