"","SpecimenID","ImageID","Assemblage","Museum ref","Archive code"
"1",3179,4220,"Abzac","","LEMP"
"2",3180,4221,"Abzac","","LEMP"
"3",3183,4224,"Abzac","","LEMP"
"4",3184,4225,"Abzac","","LEMP"
"5",3185,4226,"Abzac","","LEMP"
"6",3187,4228,"Abzac","","LEMP"
"7",3189,4230,"Abzac","","LEMP"
"8",3191,4232,"Abzac","","LEMP"
"9",3192,4233,"Abzac","","LEMP"
"10",3193,4234,"Abzac","","LEMP"
"11",3194,4235,"Abzac","","LEMP"
"12",3195,4236,"Abzac","","LEMP"
"13",3196,4237,"Abzac","","LEMP"
"14",3197,4238,"Abzac","","LEMP"
"15",3198,4239,"Abzac","","LEMP"
"16",3199,4240,"Abzac","","LEMP"
"17",3200,4241,"Abzac","","LEMP"
"18",3201,4242,"Abzac","","LEMP"
"19",3202,4243,"Abzac","","LEMP"
"20",2648,3601,"Aggeel","S 173666","ZMMS"
"21",2649,3602,"Aggeel","S 173664","ZMMS"
"22",2650,3603,"Aggeel","S 173663","ZMMS"
"23",2652,3605,"Aggeel","S 173690","ZMMS"
"24",2653,3606,"Aggeel","S 173679","ZMMS"
"25",2654,3607,"Aggeel","S 173668","ZMMS"
"26",2655,3608,"Aggeel","S 173692","ZMMS"
"27",2656,3609,"Aggeel","S 173688","ZMMS"
"28",2657,3610,"Aggeel","S 173676","ZMMS"
"29",2658,3611,"Aggeel","S 173677","ZMMS"
"30",2659,3612,"Aggeel","S 173667","ZMMS"
"31",2660,3613,"Aggeel","S 173680","ZMMS"
"32",2661,3614,"Aggeel","S 173674","ZMMS"
"33",2662,3615,"Aggeel","S 173693","ZMMS"
"34",2663,3616,"Aggeel","S 173681","ZMMS"
"35",1607,2502,"Balla","V.10137","HIGB"
"36",1608,2503,"Balla","V.10137","HIGB"
"37",1610,2505,"Balla","V.10137","HIGB"
"38",1611,2506,"Balla","V.10137","HIGB"
"39",1613,2508,"Balla","V.10137","HIGB"
"40",1616,2511,"Balla","V.10137","HIGB"
"41",1617,2512,"Balla","V.10137","HIGB"
"42",1618,2513,"Balla","V.10137","HIGB"
"43",2930,3903,"Biedensteg II","SMF 1969/2888-2918","SFIF"
"44",2932,3905,"Biedensteg II","SMF 1969/2888-2918","SFIF"
"45",2935,3908,"Biedensteg II","SMF 1969/2888-2918","SFIF"
"46",2936,3909,"Biedensteg II","SMF 1969/2888-2918","SFIF"
"47",2937,3910,"Biedensteg II","SMF 1969/2888-2918","SFIF"
"48",2938,3911,"Biedensteg II","SMF 1969/2888-2918","SFIF"
"49",2939,3912,"Biedensteg II","SMF 1969/2888-2918","SFIF"
"50",2940,3913,"Biedensteg II","SMF 1969/2888-2918","SFIF"
"51",2941,3914,"Biedensteg II","SMF 1969/2888-2918","SFIF"
"52",2050,2985,"Bisnik 12","463","UNW"
"53",2051,2986,"Bisnik 12","464","UNW"
"54",2052,2987,"Bisnik 12","466","UNW"
"55",2053,2988,"Bisnik 12","488","UNW"
"56",2054,2989,"Bisnik 12","490","UNW"
"57",2055,2990,"Bisnik 12","497","UNW"
"58",2056,2991,"Bisnik 12","501","UNW"
"59",2057,2992,"Bisnik 12","510","UNW"
"60",2058,2993,"Bisnik 12","511","UNW"
"61",2059,2994,"Bisnik 12","512","UNW"
"62",2060,2995,"Bisnik 12","527","UNW"
"63",2062,2997,"Bisnik 12","323","UNW"
"64",2063,2998,"Bisnik 12","457","UNW"
"65",2064,2999,"Bisnik 12","455","UNW"
"66",2083,3018,"Bisnik 15","","UNW"
"67",2084,3019,"Bisnik 15","201","UNW"
"68",2085,3020,"Bisnik 15","211","UNW"
"69",2086,3021,"Bisnik 15","222","UNW"
"70",2087,3022,"Bisnik 15","220","UNW"
"71",2088,3023,"Bisnik 15","221","UNW"
"72",2065,3000,"Bisnik 16","80-81","UNW"
"73",2066,3001,"Bisnik 16","72","UNW"
"74",2067,3002,"Bisnik 16","75","UNW"
"75",2068,3003,"Bisnik 16","76","UNW"
"76",2071,3006,"Bisnik 16","532","UNW"
"77",2072,3007,"Bisnik 16","534","UNW"
"78",2081,3016,"Bisnik 16","232","UNW"
"79",2082,3017,"Bisnik 16","233","UNW"
"80",2074,3009,"Bisnik 18","116","UNW"
"81",2075,3010,"Bisnik 18","112","UNW"
"82",2076,3011,"Bisnik 18","114","UNW"
"83",2077,3012,"Bisnik 18","108","UNW"
"84",2078,3013,"Bisnik 18","473","UNW"
"85",2079,3014,"Bisnik 18","475","UNW"
"86",2080,3015,"Bisnik 18","476","UNW"
"87",2094,3030,"Bisnik 8","345","UNW"
"88",2095,3031,"Bisnik 8","343","UNW"
"89",2096,3032,"Bisnik 8","348","UNW"
"90",2097,3033,"Bisnik 8","349","UNW"
"91",2098,3034,"Bisnik 8","346","UNW"
"92",2100,3036,"Bisnik 8","424","UNW"
"93",2101,3037,"Bisnik 8","423","UNW"
"94",2277,3214,"Bolshoi Tiganye","ColNo 4982:16","MIPA"
"95",2278,3215,"Bolshoi Tiganye","ColNo 4982:17","MIPA"
"96",2279,3216,"Bolshoi Tiganye","ColNo 4982:18","MIPA"
"97",2280,3217,"Bolshoi Tiganye","ColNo 4982:19","MIPA"
"98",2282,3219,"Bolshoi Tiganye","ColNo 4982:26","MIPA"
"99",2283,3220,"Bolshoi Tiganye","ColNo 4982:27","MIPA"
"100",2284,3221,"Bolshoi Tiganye","ColNo 4982:29","MIPA"
"101",2285,3222,"Bolshoi Tiganye","ColNo 4982:30","MIPA"
"102",2286,3223,"Bolshoi Tiganye","ColNo 4982:34","MIPA"
"103",2287,3224,"Bolshoi Tiganye","ColNo 4982:35","MIPA"
"104",2288,3225,"Bolshoi Tiganye","ColNo 4982:36","MIPA"
"105",2289,3226,"Bolshoi Tiganye","ColNo 4982:38","MIPA"
"106",2290,3227,"Bolshoi Tiganye","ColNo 4982:39","MIPA"
"107",2291,3228,"Bolshoi Tiganye","ColNo 4982:43","MIPA"
"108",2292,3233,"Bolshoi Tiganye","ColNo 4982:45","MIPA"
"109",2293,3234,"Bolshoi Tiganye","ColNo 4982:47","MIPA"
"110",2294,3235,"Bolshoi Tiganye","ColNo 4982:48","MIPA"
"111",2295,3236,"Bolshoi Tiganye","ColNo 4982:49","MIPA"
"112",2296,3237,"Bolshoi Tiganye","ColNo 4982:51","MIPA"
"113",2297,3238,"Bolshoi Tiganye","ColNo 4982:52","MIPA"
"114",2298,3239,"Bolshoi Tiganye","ColNo 4982:56","MIPA"
"115",2299,3240,"Bolshoi Tiganye","ColNo 4982:57","MIPA"
"116",2300,3241,"Bolshoi Tiganye","ColNo 4982:58","MIPA"
"117",2301,3242,"Bolshoi Tiganye","ColNo 4982:61","MIPA"
"118",2302,3243,"Bolshoi Tiganye","ColNo 4982:63","MIPA"
"119",2303,3244,"Bolshoi Tiganye","ColNo 4982:65","MIPA"
"120",2304,3245,"Bolshoi Tiganye","ColNo 4982:67","MIPA"
"121",2305,3246,"Bolshoi Tiganye","ColNo 4982:68","MIPA"
"122",2306,3247,"Bolshoi Tiganye","ColNo 4982:69","MIPA"
"123",2307,3248,"Bolshoi Tiganye","ColNo 4982:70","MIPA"
"124",66,1073,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 16","NHML"
"125",67,1074,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 17","NHML"
"126",69,1076,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 19","NHML"
"127",70,1077,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 20","NHML"
"128",71,1078,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 21","NHML"
"129",72,1079,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 22","NHML"
"130",73,1080,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 23","NHML"
"131",74,1081,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 24","NHML"
"132",75,1082,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 25","NHML"
"133",76,1083,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 26","NHML"
"134",77,1084,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 27","NHML"
"135",78,1085,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 28","NHML"
"136",79,1086,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 29","NHML"
"137",80,1087,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 30","NHML"
"138",83,1090,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 33","NHML"
"139",84,1091,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 34","NHML"
"140",85,1092,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 35","NHML"
"141",86,1093,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 36","NHML"
"142",97,1103,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 47","NHML"
"143",100,1105,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 49","NHML"
"144",101,1106,"Boxgrove Q1 Unit 4b","Quarry 1, Area GTP 30, Unit 4b, tooth 50","NHML"
"145",89,1095,"Boxgrove Q1 Unit 4c","Quarry 1, Area GTP 30, Unit 4c, tooth 39","NHML"
"146",90,1096,"Boxgrove Q1 Unit 4c","Quarry 1, Area GTP 30, Unit 4c, tooth 40","NHML"
"147",91,1097,"Boxgrove Q1 Unit 4c","Quarry 1, Area GTP 30, Unit 4c, tooth 41","NHML"
"148",92,1098,"Boxgrove Q1 Unit 4c","Quarry 1, Area GTP 30, Unit 4c, tooth 42","NHML"
