"","ImageID","OTUID","OTU","CSize","B1a","B2a","B3a","L1a","L2a","L3a","L4a","Pp","B2p","B3p","L2p","L3p","L4p","SDQ7i"
"1",4233,1012,"Abzac",2077,80.67,89.4,88,79.2,89.79,98.11,96.95,94.22,78.46,50.85,86.96,60.49,65.58,85.3
"2",4224,1012,"Abzac",2055,85.59,87.49,74.28,80.99,85.82,81.98,85.18,77.91,61.98,54.74,68.63,61.83,62.83,80.1
"3",4238,1012,"Abzac",1954,84.82,85.47,61.59,83.57,95.54,86.97,82.84,77.06,58.37,47.24,56.67,63.35,60.95,75.9
"4",4230,1012,"Abzac",2047,91.92,96.88,75.39,82.27,90.19,102.3,92.63,71.16,55.17,56.7,65.87,59.95,61.91,70
"5",4243,1012,"Abzac",2051,77.76,76.69,69.34,77.13,72.01,73.14,76.41,75.03,55.08,44.72,63.75,50.89,49.87,79.3
"6",4234,1012,"Abzac",1951,73.94,69.62,50.63,69.68,76.68,78.09,77.01,79.15,45.44,40.22,48.76,45.4,44.99,77.3
"7",4225,1012,"Abzac",1875,89.12,92.37,88.62,94.38,98.23,98.08,100.27,78.53,57.24,50.84,67.05,54.55,62.83,68
"8",4239,1012,"Abzac",2011,82.43,85.66,83.85,98.55,91.88,100.72,81.65,85.28,54.03,54.52,65.95,63.49,57.32,74.6
"9",4232,1012,"Abzac",1827,74.13,77.74,65.24,80.08,78.47,75.98,90.96,67.03,62.38,52.6,61.5,60.28,61.37,79.7
"10",4220,1012,"Abzac",2104,73.54,87.07,69.65,91.25,91.53,95.05,90.43,86.37,62.83,59.98,64.15,60.09,69.28,81.7
"11",4236,1012,"Abzac",1936,87.57,92.36,80.83,80.21,95.38,93.68,95.85,92.62,63.8,47.15,66.22,59.63,60.15,77
"12",4226,1012,"Abzac",2095,81.91,86.51,75.76,89.57,89.95,86.4,93.94,73.66,55.04,45.94,54.42,53.22,58.38,68.6
"13",4240,1012,"Abzac",2061,67.34,78.19,72.21,86.77,86.54,75.75,87.84,66.72,46.84,43.77,49.45,53.74,45.76,67.3
"14",4221,1012,"Abzac",2014,82.3,76.51,60.82,82.44,79.74,81.6,81.48,79.19,50.95,46.54,55.86,52.45,55.28,77
"15",4237,1012,"Abzac",2143,80.91,83.15,73.14,87.86,95.71,88.51,97.25,74.16,62.9,47.18,65.97,57.5,65.84,73.8
"16",4228,1012,"Abzac",2308,84,81,66,80,83,83,88,75,53,47,57,56,55,74
"17",4241,1012,"Abzac",2072,84.88,84.65,79.06,76.38,98.03,86.31,88.23,81.37,63.58,52.82,58.12,64.57,55.64,76.6
"18",3606,987,"Aggeel",2433,63.99,61.15,67.64,64.15,71.16,71.96,64.9,76.16,59.95,68.34,70.16,73.83,81.45,108.8
"19",3607,987,"Aggeel",2466,54.45,63.46,71.96,56.08,67.91,67.97,67.93,69.48,61.06,64.85,65.83,67.44,78.11,105.9
"20",3602,987,"Aggeel",2524,55,57,64,62,62,65,60,82,62,64,64,74,79,119.3
"21",3612,987,"Aggeel",2502,71.03,66.79,70.12,62.38,69.83,72.99,71.98,80.46,68.26,69.32,75.56,73.93,77.56,108.3
