"","OTU","OTUID","min","mean","max","sd","count"
"56","Abzac",1012,67.3,75.7,85.3,5,17
"46","Aggeel",987,105.9,113.5,125.2,8.3,5
"38","Bolshoi Tiganye",973,73.4,81.9,87.8,4.7,10
"70","Boxgrove 4b",10036,100.5,122.7,148.4,15.6,16
"69","Boxgrove 4c",10035,101.6,118.4,140.1,10.6,17
"66","Burgtonna South Black-earth",1063,81.6,94.8,102.6,6.7,9
"68","Central Scotland",10029,79.4,87.7,102.9,8.5,13
"49","Cheshskaya Guba",990,79.3,89.4,103,6.9,19
"23","Chigirin",812,88.2,102.9,111.8,7.5,9
"64","Clacton Channel IV",1047,91.4,101.9,114.8,6.5,19
"18","Courbet",791,62.9,74.5,96.9,6.6,29
"3","Cudmore Grove",108,101.8,115.6,131.5,8.1,29
"43","Don Delta",984,76.6,82.4,85.1,3,7
"27","Donskaya Negatchevka",837,88.8,103.7,113.9,7,12
"34","Dzerava skala Cave",928,75.8,85.9,101.4,4.7,24
"33","Fortuna utca 16-18/2",924,104.2,118.1,135.9,7.8,17
"53","Frankfurt am Main",1008,77.4,78.4,79.9,1,5
"21","Fuchsloch im Krockstein",801,70.4,84.7,98.5,7.9,13
"60","Ghent",1033,66.7,79.6,97.4,7.8,18
"29","Grotta del Broion, Sala Grande N",857,97.6,104.6,115,4.9,10
"28","Grotta del Broion, Sala Grande Q4",852,89.3,95.2,104.9,4.8,8
"30","Grotta del Broion, Sala Grande Q5",858,80.2,95,100.9,6.3,11
"31","Grotta del Broion, Sala Grande R1",859,88.8,99,109.1,6.7,16
"16","Gunki II",737,100.8,117.6,133.1,9.9,9
"37","Horvati-lik 13",945,85.6,92.2,98.5,5.1,8
"36","Horvati-lik 8",944,75.2,83,91.5,3.7,19
"35","Horvati-lik 9a",941,78.7,91.9,109.7,7.6,21
"10","Hundsheim",426,108.9,127.9,145.1,7.2,31
"40","Ilovayski Kordon",981,104.8,118.5,134.5,8.2,11
"44","Kabardino-Balkariya",985,75.5,84.7,96.4,5.7,19
"47","Kama-Volga",988,69.7,84.6,102.6,10.6,13
"51","Kartstein",998,68.1,75.5,81.6,5,7
"25","Korotoyak-4",826,110.8,123.5,133,5.3,20
"71","Kozi Grzbiet 2",10037,100.8,131.9,177.1,13.3,32
"26","Kuznetsovka",828,100.2,121.6,142.2,9,89
"41","Leninsky",982,79.5,87.2,96.8,5.2,20
"54","Linares de Riofrio",1009,92.6,101.8,109.9,5.8,7
"61","Marie-Jeanne Cave 2",1034,69.3,74.6,84.2,4.4,11
"11","Marie-Jeanne Cave 4",542,73.1,82,89.7,5.7,9
"62","Marie-Jeanne Cave 6",1035,86.1,90.2,95.6,3.3,7
"15","Medzhybozh-2",735,89.8,97.3,107,5.2,9
"4","Merlin's Cave",167,61,83.4,120.6,9.1,64
"8","Miesenheim I",420,99.5,117.5,133.9,9.3,23
"9","Mosbach 2",421,95.4,120.1,168.6,12.9,75
"48","Moscow",989,77,87.9,101.2,6.2,21
"59","Novomirgorod",1018,71.7,84.6,93.1,5.9,13
"22","Novonekrasovka upper",808,89.1,95.1,100.6,4.4,6
"6","Ossom's Eyrie Cave",266,64.9,80.3,95.7,6.9,37
"32","Pesko ""brick red"" strata",922,75,86.4,98,6.3,26
"17","Pilisszanto",749,76.4,85.8,94.4,6,10
"14","Pisede III",665,75.6,89.1,100.7,6.4,13
"52","Pisede IV&V",1003,76.7,87.3,100.2,6.2,25
"55","Poeymau BS",1011,68.4,77.3,87.9,6.4,15
"45","Prokhladny",986,103.8,112.9,119.3,4.2,15
"57","Regourdou 5",1014,82.8,93.2,99.2,5.6,8
"58","Regourdou 7",1015,82.6,93.1,107.9,6.7,16
"7","Rotbav-Dealul Tiganilor Clay-A",390,109.1,121.9,138.4,7.7,26
"24","Rybnaya Sloboda",814,90.4,104.8,127.8,12.9,6
"50","Schoningen 13-II-4",996,86.6,101.5,124.1,8.1,26
"13","Tonchesberg II 11-13",647,81.4,90.1,99,5.5,15
"19","Tornewton Cave Red Cave Earth",792,92.2,99.4,109.6,5.2,10
"12","Trou du Frontal",544,63.3,77.5,83.9,6,9
"42","Tsimlyansk",983,79,87.7,101.1,6.6,15
"20","Vindija E-F",798,84,91.3,98.5,4.5,15
"65","Vindija G",1061,81.5,94.1,106.1,5.9,20
"39","Vladimirovka 2",977,95.6,106.7,120.9,6.2,16
"67","Welsh Borders",10028,75,83.7,101.3,6.7,22
"2","West Runton Freshwater Bed",51,110.4,125.9,143.6,8.3,35
"1","Westbury 11",49,108.9,117.8,127.2,5.2,12
"63","Westbury 14",1037,106.6,118.1,135.2,10.8,10
"5","Wigber Low 26",259,75.4,88,99.9,5.1,49
