"","x"
"Abzac",0.0124561104448431
"Aggeel",0.0777945754338511
"Bolshoi Tiganye",0.025478581039294
"Boxgrove 4b",0.0293441473582363
"Boxgrove 4c",0.0272815838038363
"Burgtonna South Black-earth",0.002132490696663
"Central Scotland",0.00160334700894766
"Cheshskaya Guba",0.0166621847999403
"Chigirin",0.0232398948102485
"Clacton Channel IV",0.000557989722666623
"Courbet",0.0112948431690397
"Cudmore Grove",0.0125555668255822
"Don Delta",0.0116468721507455
"Donskaya Negatchevka",0.00168277547829127
"Dzerava skala Cave",0.0355806303759979
"Fortuna utca 16-18/2",0.0177917137737862
"Frankfurt am Main",0.0259588766202015
"Fuchsloch im Krockstein",0.0122971075871859
"Ghent",0.0133399850549014
"Grotta del Broion, Sala Grande N",0.00411219883470633
"Grotta del Broion, Sala Grande Q4",0.0095886732927875
"Grotta del Broion, Sala Grande Q5",0.000787473697052902
"Grotta del Broion, Sala Grande R1",0.00712479243232379
"Gunki II",0.0179156834495409
"Horvati-lik 13",0.0524046396185386
"Horvati-lik 8",0.00896673874189852
"Horvati-lik 9a",0.0457810583502648
"Hundsheim",0.000227078740479281
"Ilovayski Kordon",0.0404116424289327
"Kabardino-Balkariya",0.0378233647025673
"Kama-Volga",0.00899347783164308
"Kartstein",0.00818470449949779
"Korotoyak-4",0.0343722674795793
"Kozi Grzbiet 2",0.0903906125079794
"Kuznetsovka",0.0158736538363177
"Leninsky",0.0148474745428591
"Linares de Riofrio",0.0353008272355441
"Marie-Jeanne Cave 2",0.0128370145330484
"Marie-Jeanne Cave 4",0.0276678912094196
"Marie-Jeanne Cave 6",0.0149611864297960
"Medzhybozh-2",0.00753791635202537
"Merlin's Cave",0.000203780116050371
"Miesenheim I",0.0252440839084711
"Mosbach 2",0.0154700344944619
"Moscow",0.0256128299355244
"Novomirgorod",0.0287852806377445
"Novonekrasovka upper",0.00165992509301274
"Ossom's Eyrie Cave",0.00207692377925501
"Pesko ""brick red"" strata",0.000894720333522392
"Pilisszanto",0.0147745800602153
"Pisede III",0.00251227327269154
"Pisede IV&V",0.0018692459930447
"Poeymau BS",0.0173742488322998
"Prokhladny",0.061641798343956
"Regourdou 5",0.0446387951515564
"Regourdou 7",0.0459972293802605
"Rotbav-Dealul Tiganilor Clay-A",0.00946771378828067
"Rybnaya Sloboda",0.0310467647750605
"Schoningen 13-II-4",0.00509207586625438
"Tonchesberg II 11-13",0.00582818777276339
"Tornewton Cave Red Cave Earth",0.00731032642800402
"Trou du Frontal",0.0299910785236807
"Tsimlyansk",0.00704241049038232
"Vindija E-F",0.0184390013649366
"Vindija G",0.00954746973021057
"Vladimirovka 2",0.0411550685041634
"Welsh Borders",0
"West Runton Freshwater Bed",0.0100959643116407
"Westbury 11",0.0351161211500821
"Westbury 14",0.0341901413239677
"Wigber Low 26",0.00319215572070624
