"","RepNo","RectNo","ImagePix","ScreenPix"
"1",1,1,341,17.05
"2",2,1,351,17.55
"3",3,1,350,17.5
"4",4,1,329,16.45
"5",5,1,332,16.6
"6",1,2,319,15.95
"7",2,2,313,15.65
"8",3,2,303,15.15
"9",4,2,319,15.95
"10",5,2,290,14.5
"11",1,3,671,33.55
"12",2,3,647,32.35
"13",3,3,650,32.5
"14",4,3,679,33.95
"15",5,3,649,32.45
"16",1,4,361,18.05
"17",2,4,335,16.75
"18",3,4,336,16.8
"19",4,4,330,16.5
"20",5,4,350,17.5
"21",1,5,434,21.7
"22",2,5,452,22.6
"23",3,5,437,21.85
"24",4,5,427,21.35
"25",5,5,432,21.6
"26",1,6,1210,60.5
"27",2,6,1213,60.65
"28",3,6,1205,60.25
"29",4,6,1214,60.7
"30",5,6,1208,60.4
"31",1,7,824,41.2
"32",2,7,852,42.6
"33",3,7,855,42.75
"34",4,7,824,41.2
"35",5,7,832,41.6
"36",1,8,812,40.6
"37",2,8,812,40.6
"38",3,8,805,40.25
"39",4,8,815,40.75
"40",5,8,819,40.95
"41",1,9,783,39.15
"42",2,9,796,39.8
"43",3,9,785,39.25
"44",4,9,787,39.35
"45",5,9,769,38.45
"46",1,10,932,46.6
"47",2,10,885,44.25
"48",3,10,901,45.05
"49",4,10,930,46.5
"50",5,10,910,45.5
"51",1,11,1230,61.5
"52",2,11,1208,60.4
"53",3,11,1208,60.4
"54",4,11,1209,60.45
"55",5,11,1205,60.25
"56",1,12,550,27.5
"57",2,12,531,26.55
"58",3,12,528,26.4
"59",4,12,553,27.65
"60",5,12,524,26.2
"61",1,13,911,45.55
"62",2,13,911,45.55
"63",3,13,915,45.75
"64",4,13,911,45.55
"65",5,13,911,45.55
"66",1,14,869,43.45
"67",2,14,851,42.55
"68",3,14,861,43.05
"69",4,14,868,43.4
"70",5,14,858,42.9
"71",1,15,771,38.55
"72",2,15,765,38.25
"73",3,15,788,39.4
"74",4,15,779,38.95
"75",5,15,799,39.95
"76",1,16,271,13.55
"77",2,16,271,13.55
"78",3,16,251,12.55
"79",4,16,245,12.25
"80",5,16,271,13.55
"81",1,17,317,15.85
"82",2,17,315,15.75
"83",3,17,313,15.65
"84",4,17,295,14.75
"85",5,17,312,15.6
"86",1,18,233,11.65
"87",2,18,219,10.95
"88",3,18,224,11.2
"89",4,18,230,11.5
"90",5,18,225,11.25
"91",1,19,949,47.45
"92",2,19,935,46.75
"93",3,19,956,47.8
"94",4,19,951,47.55
"95",5,19,942,47.1
"96",1,20,785,39.25
"97",2,20,789,39.45
"98",3,20,786,39.3
"99",4,20,785,39.25
"100",5,20,790,39.5
"101",1,21,1005,50.25
"102",2,21,990,49.5
"103",3,21,984,49.2
"104",4,21,994,49.7
"105",5,21,999,49.95
"106",1,22,1154,57.7
"107",2,22,1132,56.6
"108",3,22,1166,58.3
"109",4,22,1144,57.2
"110",5,22,1152,57.6
"111",1,23,1030,51.5
"112",2,23,1019,50.95
"113",3,23,1026,51.3
"114",4,23,1001,50.05
"115",5,23,1011,50.55
"116",1,24,1194,59.7
"117",2,24,1169,58.45
"118",3,24,1187,59.35
"119",4,24,1168,58.4
"120",5,24,1182,59.1
"121",1,25,748,37.4
"122",2,25,750,37.5
"123",3,25,745,37.25
"124",4,25,721,36.05
"125",5,25,742,37.1
