MapID,Locality,Country,Latitude,Longitude,Archives,Min_age,Max_age,Assemblage
Agl,Aggeel,Azerbaijan,40.02,47.66,ZMMS,0.0,0.0,Aggeel
CSc,Central Scotland,Scotland,56.13,-3.15,NHML,0.0,0.0,Central Scotland
ChG,Cheshskaya Guba,Russia,65.0,46.0,ZMMS,0.0,0.0,Cheshskaya Guba
DDt,Don Delta,Russia,47.2,39.7,ZMMS,0.0,0.0,Don Delta
FaM,Frankfurt am Main,Germany,50.11,8.68,SFIF,0.0,0.0,Frankfurt am Main
Ghe,Ghent,Belgium,51.03,3.43,RBIN,0.0,0.0,Ghent
KBa,Kabardino-Balkariya,Russia,43.0,44.0,ZMMS,0.0,0.0,Kabardino-Balkariya
KVg,Kama-Volga,Russia,55.49,49.26,ZMMS,0.0,0.0,Kama-Volga
Len,Leninsky,Russia,48.75,45.2,ZMMS,0.0,0.0,Leninsky
LdR,Linares de Riofrio,Spain,40.58,-5.92,SFIF,0.0,0.0,Linares de Riofrio
Mcw,Moscow,Russia,54.85,38.13,ZMMS,0.0,0.0,Moscow
Nvm,Novomirgorod,Ukraine,48.78,31.65,MNHK,0.0,0.0,Novomirgorod
Prk,Prokhladny,Russia,43.8,43.0,ZMMS,0.0,0.0,Prokhladny
Tsm,Tsimlyansk,Russia,47.65,42.1,ZMMS,0.0,0.0,Tsimlyansk
WBd,Welsh Borders,England,52.5,-2.48,NHML,0.0,0.0,Welsh Borders
Abz,Abzac,France,44.94,1.01,LEMP,12.9,14.7,Abzac
BSB,Burgtonna South,Germany,51.06,10.72,SFIW,71.0,116.0,Burgtonna South Black-earth
B4b,Boxgrove,England,50.86,-0.69,NHML,478.0,621.0,Boxgrove 4b
B4c,Boxgrove,England,50.86,-0.69,NHML,478.0,621.0,Boxgrove 4c
BTg,Bolshoi Tigany,Russia,55.14,50.15,MIPA,9.2,10.3,Bolshoi Tiganye
CCIV,Clacton,England,51.79,1.16,DBC,116.0,132.0,Clacton Channel IV
CGr,Cudmore Grove,England,51.79,0.99,NHML,279.0,337.0,Cudmore Grove 'Detrital mud'
Chg,Chigirin,Ukraine,49.08,32.67,MIGG,374.0,424.0,Chigirin
Crb,Courbet,France,44.05,1.66,NHML,14.1,14.7,Courbet
DNg,Donskaya Negatchevka,Russia,52.06,39.0,MIPA,374.0,424.0,Donskaya Negatchevka 9
DSC,Dzerava skala Cave,Slovak Republic,48.5,17.32,HIGB,26.48,27.88,Dzerava skala Cave
FiK,Fuchsloch im Krockstein,Germany,51.75,10.87,MFNB,11.27,13.12,Fuchsloch im Krockstein
FUt,Fortuna utca 16-18/2,Hungary,47.49,19.04,HIGB,374.0,621.0,Fortuna utca 16-18/2
GBN,"Grotta del Broion, Sala Grande",Italy,45.46,11.59,UNFE,45.0,116.0,"Grotta del Broion, Sala Grande N"
GBQ5,"Grotta del Broion, Sala Grande",Italy,45.46,11.59,UNFE,45.0,116.0,"Grotta del Broion, Sala Grande Q5"
